Mapa,Metoda,Liczba przeszkód,Czas planowania,Liczba węzłów,MaxConnectionDistance/MaxNumNodes,Znaleziono ścieżkę
1,RRT,0,0.180959,473,0.5,1
1,RRT,0,0.054524,131,1,1
1,PRM,0,0.075947,473,473,1
1,PRM,0,0.018317,131,131,1
1,RRT,5,0.047321,467,0.5,1
1,RRT,5,0.011810,128,1,1
1,PRM,5,0.019142,467,467,1
1,PRM,5,0.009979,128,128,1
1,RRT,10,0.057477,431,0.5,1
1,RRT,10,0.011484,185,1,1
1,PRM,10,0.034425,431,431,1
1,PRM,10,0.003677,185,185,1
2,RRT,0,0.042170,887,1,1
2,RRT,0,0.014156,368,2,1
2,RRT,0,0.023177,572,3,1
2,PRM,0,0.003537,887,887,1
2,PRM,0,0.003107,368,368,1
2,PRM,0,0.003031,572,572,1
2,RRT,5,0.057985,1142,1,1
2,RRT,5,0.015773,347,2,1
2,RRT,5,0.033224,548,3,1
2,PRM,5,0.003758,1142,1142,1
2,PRM,5,0.003127,347,347,1
2,PRM,5,0.003072,548,548,1
2,RRT,10,0.054006,1217,1,1
2,RRT,10,0.030648,446,2,1
2,RRT,10,0.027009,425,3,1
2,PRM,10,0.003821,1217,1217,1
2,PRM,10,0.002956,446,446,1
2,PRM,10,0.003149,425,425,1
3,RRT,0,0.188547,2630,1,1
3,RRT,0,0.028477,629,2,1
3,RRT,0,0.021021,302,3,1
3,PRM,0,0.004626,2630,2630,1
3,PRM,0,0.003080,629,629,1
3,PRM,0,0.002724,302,302,1
3,RRT,5,0.136314,2606,1,1
3,RRT,5,0.040603,629,2,1
3,RRT,5,0.019770,302,3,1
3,PRM,5,0.004708,2606,2606,1
3,PRM,5,0.002897,629,629,1
3,PRM,5,0.002878,302,302,1
3,RRT,10,0.138288,2585,1,1
3,RRT,10,0.024356,602,2,1
3,RRT,10,0.020640,296,3,1
3,PRM,10,0.003935,2585,2585,1
3,PRM,10,0.002380,602,602,1
3,PRM,10,0.002330,296,296,1
